종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,41930,2,270,0.65,41979.0,-3.1976,2807005,117551,54593,국내 시장지수,KODEX,False,False,False
102110,1,TIGER 200,41960,2,270,0.65,42009.0,-3.1484,992124,41597,23225,국내 시장지수,TIGER,False,False,False
153130,6,KODEX 단기채권,102885,2,10,0.01,102883.0,0.0291,7598,781,20968,채권,KODEX,False,False,False
252670,3,KODEX 200선물인버스2X,2000,5,-25,-1.23,2004.0,5.2631,113442718,227795,20042,국내 파생,KODEX,True,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,16480,5,-670,-3.91,,26.3319,12395343,207101,18702,해외 주식,TIGER,False,False,False
102780,2,KODEX 삼성그룹,10455,2,75,0.72,10472.0,3.7717,153755,1603,17334,국내 업종/테마,KODEX,False,False,False
122630,3,KODEX 레버리지,26700,2,335,1.27,26817.0,-6.7901,17057498,454363,17088,국내 파생,KODEX,False,True,False
214980,6,KODEX 단기채권PLUS,103195,5,-5,0.0,103202.0,0.0436,2933600,302747,14625,채권,KODEX,False,False,False
157450,6,TIGER 단기통안채,100290,2,5,0.0,100285.0,0.0598,6491,650,14075,채권,TIGER,False,False,False
273130,6,KODEX 종합채권(AA-이상)액티브,109825,3,0,0.0,109782.0,1.3847,4443,487,14070,채권,KODEX,False,False,False
292150,2,TIGER TOP10,14475,2,110,0.77,14520.0,0.2423,109723,1586,13259,국내 업종/테마,TIGER,False,False,False
278530,1,KODEX 200TR,13735,2,100,0.73,13747.0,-3.0699,22872,313,12465,국내 시장지수,KODEX,False,False,False
133690,4,TIGER 미국나스닥100,81030,5,-300,-0.37,,18.774,155599,12605,11344,해외 주식,TIGER,False,False,False
114800,3,KODEX 인버스,3840,5,-25,-0.65,3841.0,2.949,24524051,94334,11121,국내 파생,KODEX,True,False,False
148020,1,KBSTAR 200,42010,2,250,0.6,42078.0,-3.1448,278107,11687,11070,국내 시장지수,KBSTAR,False,False,False
278540,1,KODEX MSCI Korea TR,13430,2,80,0.6,13465.0,-3.2421,361498,4850,11013,국내 시장지수,KODEX,False,False,False
305720,2,KODEX 2차전지산업,21050,2,305,1.47,21103.0,15.5958,1175281,24541,9767,국내 업종/테마,KODEX,False,False,False
139260,2,TIGER 200 IT,37205,2,920,2.54,37265.0,-1.2869,156093,5767,9257,국내 업종/테마,TIGER,False,False,False
305540,2,TIGER 2차전지테마,20040,2,375,1.91,20087.0,16.2075,1201190,23848,8928,국내 업종/테마,TIGER,False,False,False
233740,1,KODEX 코스닥150 레버리지,16620,2,220,1.34,16822.0,17.5804,5901530,97940,8576,국내 시장지수,KODEX,False,True,False
152100,1,ARIRANG 200,42565,2,260,0.61,42619.0,-2.8308,36888,1568,8300,국내 시장지수,ARIRANG,False,False,False
105190,1,KINDEX 200,42080,2,275,0.66,42130.0,-3.1865,469922,19770,7175,국내 시장지수,KINDEX,False,False,False
091180,2,KODEX 자동차,22820,2,280,1.24,22815.0,-4.7182,203756,4636,6960,국내 업종/테마,KODEX,False,False,False
310970,1,TIGER MSCI Korea TR,16910,2,135,0.8,16919.0,-3.2609,1237,20,6815,국내 시장지수,TIGER,False,False,False
364980,2,TIGER KRX2차전지K-뉴딜,16775,2,235,1.42,16804.0,5.4037,667144,11104,6349,국내 업종/테마,TIGER,False,False,False
293180,1,HANARO 200,41975,2,285,0.68,42003.0,-3.125,3240,135,6170,국내 시장지수,HANARO,False,False,False
282000,3,KBSTAR 국고채3년선물인버스,99775,2,65,0.07,99767.0,0.0551,261,26,6023,국내 파생,KBSTAR,True,False,False
381170,4,TIGER 미국테크TOP10 INDXX,12065,5,-60,-0.49,,23.2379,2409529,29013,5972,해외 주식,TIGER,False,False,False
069660,1,KOSEF 200,42010,2,265,0.63,42041.0,-3.1135,1542,64,5776,국내 시장지수,KOSEF,False,False,False
360750,4,TIGER 미국S&P500,13240,2,20,0.15,,12.3652,573239,7579,5667,해외 주식,TIGER,False,False,False
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),10830,5,-105,-0.96,,,1463688,15915,5320,해외 주식,TIGER,False,False,False
314250,4,KODEX 미국FANG플러스(H),29230,5,-120,-0.41,,10.7826,187911,5491,5291,해외 주식,KODEX,False,False,True
251340,3,KODEX 코스닥150선물인버스,4160,5,-30,-0.72,4167.0,-9.4669,27812257,115955,5113,국내 파생,KODEX,True,False,False
381180,4,TIGER 미국필라델피아반도체나스닥,10680,2,25,0.23,,11.25,716377,7633,4988,해외 주식,TIGER,False,False,False
315930,2,KODEX Top5PlusTR,19210,2,185,0.97,19203.0,-3.8298,3077,58,4975,국내 업종/테마,KODEX,False,False,False
294400,1,KOSEF 200TR,49930,2,350,0.71,49962.0,-3.152,3515,175,4943,국내 시장지수,KOSEF,False,False,False
364960,2,TIGER KRX BBIG K-뉴딜,13540,2,90,0.67,13566.0,9.4583,174743,2361,4394,국내 업종/테마,TIGER,False,False,False
229200,1,KODEX 코스닥 150,15175,2,70,0.46,15353.0,8.3541,1059595,16077,3908,국내 시장지수,KODEX,False,False,False
332500,1,KINDEX 200TR,25600,2,170,0.67,25629.0,-3.2137,542,13,3738,국내 시장지수,KINDEX,False,False,False
385540,6,KBSTAR KIS종합채권(A-이상)액티브,101215,5,-15,-0.01,101211.0,1.4432,9,0,3715,채권,KBSTAR,False,False,False
091170,2,KODEX 은행,7450,3,0,0.0,7463.0,-4.5484,573030,4265,3531,국내 업종/테마,KODEX,False,False,False
290130,2,KBSTAR ESG사회책임투자,13550,2,90,0.67,13563.0,-4.308,14742,199,3401,국내 업종/테마,KBSTAR,False,False,False
360200,4,KINDEX 미국S&P500,13340,2,15,0.11,,12.4504,266399,3550,3375,해외 주식,KINDEX,False,False,False
371160,4,TIGER 차이나항셍테크,8640,5,-120,-1.37,,-15.5426,419732,3646,3344,해외 주식,TIGER,False,False,False
226490,1,KODEX 코스피,32115,2,195,0.61,32217.0,-1.2758,9292,298,3244,국내 시장지수,KODEX,False,False,False
367770,2,KBSTAR Fn수소경제테마,12590,2,65,0.52,12594.0,0.7603,245793,3090,3022,국내 업종/테마,KBSTAR,False,False,False
251350,4,KODEX 선진국MSCI World,20630,2,40,0.19,,9.968,39617,816,2991,해외 주식,KODEX,False,False,False
332940,1,HANARO MSCI Korea TR,16900,2,220,1.32,16898.0,-3.1797,62,1,2738,국내 시장지수,HANARO,False,False,False
295040,1,SOL 200TR,14290,2,100,0.7,14305.0,-3.1843,11629,166,2722,국내 시장지수,SOL,False,False,False
143850,4,TIGER 미국S&P500선물(H),53095,2,250,0.47,,8.2466,40835,2166,2681,해외 주식,TIGER,False,False,True
108450,2,KINDEX 삼성그룹섹터가중,17355,2,145,0.84,17354.0,5.4374,11307,195,2621,국내 업종/테마,KINDEX,False,False,False
192090,4,TIGER 차이나CSI300,11570,5,-75,-0.64,,-4.6953,177540,2061,2592,해외 주식,TIGER,False,False,False
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),19625,2,160,0.82,,8.0077,94371,1850,2591,해외 주식,TIGER,False,False,True
272560,6,KBSTAR 단기국공채액티브,102175,2,15,0.01,102164.0,0.0832,396421,40500,2590,채권,KBSTAR,False,False,False
357870,7,TIGER CD금리투자KIS(합성),50415,2,15,0.03,50400.0,0.1987,8721,439,2573,기타,TIGER,False,False,False
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100055,5,-5,0.0,100045.0,0.055,6,0,2529,채권,KBSTAR,False,False,False
091160,2,KODEX 반도체,36175,2,205,0.57,36237.0,-4.6521,101585,3669,2478,국내 업종/테마,KODEX,False,False,False
367380,4,KINDEX 미국나스닥100,13910,5,-55,-0.39,,18.8381,259411,3607,2393,해외 주식,KINDEX,False,False,False
168580,4,KINDEX 중국본토CSI300,30910,5,-175,-0.56,,-4.5546,17486,540,2380,해외 주식,KINDEX,False,False,False
132030,5,KODEX 골드선물(H),12285,5,-10,-0.08,,-4.8413,71745,880,2285,원자재,KODEX,False,False,True
196230,6,KBSTAR 단기통안채,104560,3,0,0.0,104556.0,0.0765,447473,46786,2194,채권,KBSTAR,False,False,False
261220,5,KODEX WTI원유선물(H),10635,2,240,2.31,,2.6049,389021,4127,2175,원자재,KODEX,False,False,True
332930,1,HANARO 200TR,49980,2,330,0.66,50006.0,-3.1302,92,4,2174,국내 시장지수,HANARO,False,False,False
190620,6,KINDEX 단기통안채,100430,3,0,0.0,100427.0,0.0946,663,66,2159,채권,KINDEX,False,False,False
245710,4,KINDEX 베트남VN30(합성),21490,2,60,0.28,,1.1532,39250,842,2106,해외 주식,KINDEX,False,False,False
272580,6,TIGER 단기채권액티브,50155,5,-5,-0.01,50152.0,0.0498,3501,175,2083,채권,TIGER,False,False,False
161510,2,ARIRANG 고배당주,12650,5,-35,-0.28,12680.0,-1.1333,59005,747,2061,국내 업종/테마,ARIRANG,False,False,False
326240,2,KBSTAR IT플러스,22400,2,170,0.76,22473.0,3.9684,85538,1915,1935,국내 업종/테마,KBSTAR,False,False,False
278240,1,KBSTAR 코스닥150선물레버리지,16995,2,215,1.28,17019.0,17.9389,110149,1869,1885,국내 시장지수,KBSTAR,False,True,False
232080,1,TIGER 코스닥150,15410,2,95,0.62,15566.0,8.5211,109478,1684,1825,국내 시장지수,TIGER,False,False,False
302450,1,KBSTAR 코스피,32145,2,250,0.78,32139.0,-1.7724,40,1,1816,국내 시장지수,KBSTAR,False,False,False
143860,2,TIGER 헬스케어,46550,2,180,0.39,46738.0,8.7489,136421,6364,1769,국내 업종/테마,TIGER,False,False,False
390950,6,HANARO 단기채권액티브,100125,3,0,0.0,100129.0,,0,0,1746,채권,HANARO,False,False,False
270810,1,KBSTAR 코스닥150,15115,2,110,0.73,15259.0,8.7801,51014,768,1705,국내 시장지수,KBSTAR,False,False,False
182480,7,TIGER 미국MSCI리츠(합성 H),15690,2,50,0.32,,6.5969,87407,1373,1632,기타,TIGER,False,False,True
136340,6,KBSTAR 중기우량회사채,105295,2,45,0.04,105256.0,-0.1139,4783,503,1579,채권,KBSTAR,False,False,False
372330,4,KODEX 차이나항셍테크,8670,5,-120,-1.37,,-15.4559,235779,2055,1569,해외 주식,KODEX,False,False,False
091230,2,TIGER 반도체,37090,2,260,0.71,37095.0,-4.4688,33166,1229,1550,국내 업종/테마,TIGER,False,False,False
150460,2,TIGER 중국소비테마,8970,5,-5,-0.06,8981.0,-5.4297,41589,373,1545,국내 업종/테마,TIGER,False,False,False
148070,6,KOSEF 국고채10년,121915,5,-145,-0.12,121890.0,2.2433,3628,442,1365,채권,KOSEF,False,False,False
138540,2,TIGER 현대차그룹+펀더멘털,26530,2,270,1.03,26604.0,-4.9104,25264,669,1348,국내 업종/테마,TIGER,False,False,False
219480,4,KODEX 미국S&P500선물(H),21865,2,120,0.55,,8.2693,31530,689,1301,해외 주식,KODEX,False,False,True
329750,6,TIGER 미국달러단기채권액티브,9915,5,-20,-0.2,,3.8763,50942,504,1238,채권,TIGER,False,False,False
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,10815,2,20,0.19,,,243636,2634,1233,해외 주식,TIGER,False,False,False
298770,4,KODEX 한국대만IT프리미어,20460,2,40,0.2,,1.7404,22650,462,1228,해외 주식,KODEX,False,False,False
368590,4,KBSTAR 미국나스닥100,13470,5,-50,-0.37,,18.6784,111153,1496,1226,해외 주식,KBSTAR,False,False,False
252710,3,TIGER 200선물인버스2X,2085,5,-20,-0.95,2082.0,5.8375,3171783,6619,1220,국내 파생,TIGER,True,False,False
367760,2,KBSTAR Fn5G테크,10785,2,45,0.42,10785.0,-5.2701,54318,584,1219,국내 업종/테마,KBSTAR,False,False,False
283580,4,KODEX 차이나CSI300,13980,5,-10,-0.07,,-4.5082,38510,538,1202,해외 주식,KODEX,False,False,False
204480,4,TIGER 차이나CSI300레버리지(합성),29920,5,-335,-1.11,,-11.7665,85517,2566,1197,해외 주식,TIGER,False,True,False
379800,4,KODEX 미국S&P500TR,11575,2,20,0.17,,12.3786,136005,1572,1192,해외 주식,KODEX,False,False,False
379810,4,KODEX 미국나스닥100TR,11895,5,-40,-0.34,,18.7718,237290,2821,1166,해외 주식,KODEX,False,False,False
225040,4,TIGER 미국S&P500레버리지(합성 H),35085,2,330,0.95,,15.7538,21337,747,1158,해외 주식,TIGER,False,True,True
273140,6,KODEX 단기변동금리부채권액티브,102690,2,5,0.0,102694.0,0.1169,120,12,1141,채권,KODEX,False,False,False
328370,1,ARIRANG 코스피TR,16155,2,165,1.03,16152.0,-0.7983,91,1,1131,국내 시장지수,ARIRANG,False,False,False
267770,3,TIGER 200선물레버리지,20115,2,245,1.23,20131.0,-7.0687,447960,8988,1126,국내 파생,TIGER,False,True,False
322400,2,HANARO e커머스,20380,2,135,0.67,20426.0,7.3196,119295,2428,1111,국내 업종/테마,HANARO,False,False,False
325010,2,KODEX Fn성장,18715,2,135,0.73,18693.0,2.1561,1069,20,1085,국내 업종/테마,KODEX,False,False,False
228800,2,TIGER 여행레저,5585,2,35,0.63,5600.0,-4.6929,605091,3393,1066,국내 업종/테마,TIGER,False,False,False
139280,2,TIGER 경기방어,12695,5,-35,-0.27,12695.0,0.2764,17102,217,1051,국내 업종/테마,TIGER,False,False,False
139220,2,TIGER 200 건설,3315,2,20,0.61,3318.0,0.4545,505379,1673,1044,국내 업종/테마,TIGER,False,False,False
329200,2,TIGER 부동산인프라고배당,5855,2,15,0.26,5863.0,-0.4929,100230,585,1039,국내 업종/테마,TIGER,False,False,False
144600,5,KODEX 은선물(H),4920,5,-45,-0.91,,-14.8789,202827,997,1033,원자재,KODEX,False,False,True
364970,2,TIGER KRX바이오K-뉴딜,11005,5,-10,-0.09,11031.0,9.1224,272031,3006,1001,국내 업종/테마,TIGER,False,False,False
309230,2,KINDEX 미국WideMoat가치주,17880,5,-30,-0.17,,8.7922,87919,1572,983,국내 업종/테마,KINDEX,False,False,False
325020,2,KODEX 배당가치,13450,2,30,0.22,13443.0,-4.2023,4478,60,982,국내 업종/테마,KODEX,False,False,False
114260,6,KODEX 국고채3년,58065,2,5,0.01,58057.0,0.0775,2059,119,975,채권,KODEX,False,False,False
122260,6,KOSEF 통안채1년,101300,2,5,0.0,101306.0,0.0246,300749,30466,922,채권,KOSEF,False,False,False
117700,2,KODEX 건설,3830,2,15,0.39,3845.0,0.5249,530132,2031,919,국내 업종/테마,KODEX,False,False,False
261240,7,KODEX 미국달러선물,10230,5,-50,-0.49,10251.0,3.5425,132085,1352,902,기타,KODEX,False,False,False
395750,2,ARIRANG ESG가치주액티브,9835,2,85,0.87,9835.0,,204,2,900,국내 업종/테마,ARIRANG,False,False,False
371470,4,TIGER 차이나바이오테크SOLACTIVE,11260,2,70,0.63,,-14.5027,57213,641,896,해외 주식,TIGER,False,False,False
387280,2,TIGER 퓨처모빌리티액티브,10960,2,165,1.53,11003.0,7.2407,60110,656,892,국내 업종/테마,TIGER,False,False,False
304940,4,KODEX 미국나스닥100선물(H),19820,3,0,0.0,,14.2363,21756,431,872,해외 주식,KODEX,False,False,True
157490,2,TIGER 소프트웨어,18670,2,130,0.7,18670.0,6.5335,52343,976,844,국내 업종/테마,TIGER,False,False,False
329650,7,KODEX TRF3070,11525,5,-5,-0.04,11476.0,4.0162,124818,1438,830,기타,KODEX,False,False,False
376410,2,TIGER 탄소효율그린뉴딜,10155,2,60,0.59,10186.0,-1.6465,6673,67,812,국내 업종/테마,TIGER,False,False,False
306520,3,HANARO 200선물인버스,8820,5,-70,-0.79,8836.0,2.7972,22044,194,807,국내 파생,HANARO,True,False,False
387270,4,TIGER 글로벌BBIG액티브,11985,5,-60,-0.5,,18.7221,173489,2081,807,해외 주식,TIGER,False,False,False
385520,2,KODEX K-미래차액티브,10505,2,85,0.82,10539.0,-0.0476,98832,1038,804,국내 업종/테마,KODEX,False,False,False
266160,2,KBSTAR 고배당,12740,2,10,0.08,12759.0,-3.1474,4629,58,803,국내 업종/테마,KBSTAR,False,False,False
174360,4,KBSTAR 중국본토대형주CSI100,20390,3,0,0.0,,-9.6789,3170,64,795,해외 주식,KBSTAR,False,False,False
195930,4,TIGER 유로스탁스50(합성 H),14395,2,55,0.38,,3.2639,8754,125,792,해외 주식,TIGER,False,False,True
195980,4,ARIRANG 신흥국MSCI(합성 H),12575,3,0,0.0,,-5.8758,14385,180,744,해외 주식,ARIRANG,False,False,True
233160,1,TIGER 코스닥150 레버리지,17695,2,220,1.26,17869.0,17.5747,66614,1175,725,국내 시장지수,TIGER,False,True,False
245340,4,TIGER 미국다우존스30,20825,2,50,0.24,,7.0418,17841,371,687,해외 주식,TIGER,False,False,False
130680,5,TIGER 원유선물Enhanced(H),3220,2,70,2.22,,3.2051,344624,1108,678,원자재,TIGER,False,False,True
365000,2,TIGER KRX인터넷K-뉴딜,13220,2,80,0.61,13272.0,15.9649,309767,4094,674,국내 업종/테마,TIGER,False,False,False
114820,6,TIGER 국채3년,110665,5,-5,0.0,110670.0,0.1085,1324,146,664,채권,TIGER,False,False,False
256750,4,KODEX 차이나심천ChiNext(합성),14000,5,-180,-1.27,,0.0,47999,673,658,해외 주식,KODEX,False,False,False
228810,2,TIGER 미디어컨텐츠,8395,5,-50,-0.59,8386.0,4.9375,135847,1138,655,국내 업종/테마,TIGER,False,False,False
245360,4,TIGER 차이나HSCEI,11415,5,-70,-0.61,,-10.4706,18418,211,651,해외 주식,TIGER,False,False,False
123310,3,TIGER 인버스,4250,5,-30,-0.7,4251.0,3.0303,357969,1522,650,국내 파생,TIGER,True,False,False
305080,6,TIGER 미국채10년선물,12010,5,-45,-0.37,,5.955,53233,639,649,채권,TIGER,False,False,False
368190,2,HANARO Fn K-뉴딜디지털플러스,13420,2,75,0.56,13420.0,6.5079,8012,107,637,국내 업종/테마,HANARO,False,False,False
091220,2,TIGER 은행,7785,2,10,0.13,7795.0,-4.5956,35110,273,634,국내 업종/테마,TIGER,False,False,False
363510,6,SOL KIS단기통안채,100390,3,0,0.0,100392.0,0.0548,0,0,631,채권,SOL,False,False,False
117680,2,KODEX 철강,10070,2,50,0.5,10068.0,-2.3752,225386,2264,627,국내 업종/테마,KODEX,False,False,False
277630,1,TIGER 코스피,32440,2,210,0.65,32541.0,-1.3682,993,32,616,국내 시장지수,TIGER,False,False,False
102970,2,KODEX 증권,8480,5,-45,-0.53,8488.0,-3.7458,40469,343,606,국내 업종/테마,KODEX,False,False,False
336160,6,KBSTAR 금융채액티브,103170,5,-40,-0.04,103145.0,-0.2321,4568,471,598,채권,KBSTAR,False,False,False
266370,2,KODEX IT,20480,2,200,0.99,20507.0,-0.7512,6873,140,594,국내 업종/테마,KODEX,False,False,False
363580,2,KODEX 200IT TR,13980,2,245,1.78,14060.0,-1.8259,9280,129,573,국내 업종/테마,KODEX,False,False,False
302190,6,TIGER 중장기국채,52670,5,-25,-0.05,52622.0,1.2106,77,4,569,채권,TIGER,False,False,False
315960,2,KBSTAR 대형고배당10TR,15860,2,140,0.89,15892.0,-9.7582,8392,132,563,국내 업종/테마,KBSTAR,False,False,False
361580,1,KBSTAR 200TR,21525,2,130,0.61,21550.0,-3.0406,1037,22,560,국내 시장지수,KBSTAR,False,False,False
289260,2,TIGER MSCI KOREA ESG리더스,11850,2,135,1.15,11875.0,-1.9852,2693,31,547,국내 업종/테마,TIGER,False,False,False
385510,2,KODEX K-신재생에너지액티브,11180,2,100,0.9,11179.0,7.7071,100922,1122,537,국내 업종/테마,KODEX,False,False,False
130730,6,KOSEF 단기자금,101210,2,5,0.0,101205.0,0.0791,478638,48442,534,채권,KOSEF,False,False,False
354350,4,HANARO 글로벌럭셔리S&P(합성),17890,5,-10,-0.06,,-0.2231,25519,457,528,해외 주식,HANARO,False,False,False
304780,1,HANARO 200선물레버리지,29205,2,360,1.25,29224.0,-6.946,4055,117,526,국내 시장지수,HANARO,False,True,False
139230,2,TIGER 200 중공업,3505,2,10,0.29,3506.0,-11.1534,177017,620,519,국내 업종/테마,TIGER,False,False,False
371450,4,TIGER 글로벌클라우드컴퓨팅INDXX,12765,2,45,0.35,,24.0524,58526,746,516,해외 주식,TIGER,False,False,False
375770,2,KODEX 탄소효율그린뉴딜,10140,2,70,0.7,10170.0,-1.7442,6201,62,487,국내 업종/테마,KODEX,False,False,False
292190,1,KODEX KRX300,19420,2,210,1.09,19425.0,-2.0676,27188,527,486,국내 시장지수,KODEX,False,False,False
099140,4,KODEX 차이나H,19365,5,-75,-0.39,,-10.4302,18976,368,484,해외 주식,KODEX,False,False,False
385560,6,KBSTAR KIS국고채30년Enhanced,109505,2,825,0.76,109397.0,10.3658,269,29,482,채권,KBSTAR,False,False,False
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),3790,2,115,3.13,,-12.2686,252568,956,474,해외 주식,KBSTAR,False,False,True
266360,2,KODEX 미디어&엔터테인먼트,25785,2,190,0.74,25810.0,9.6068,80839,2083,464,국내 업종/테마,KODEX,False,False,False
337160,2,KODEX 200ESG,14900,2,115,0.78,14920.0,-3.7779,17529,260,447,국내 업종/테마,KODEX,False,False,False
243880,2,TIGER 200IT레버리지,62170,2,2600,4.36,62365.0,-4.1918,12420,759,435,국내 업종/테마,TIGER,False,True,False
256440,4,KINDEX 인도네시아MSCI(합성),8270,2,10,0.12,,-1.1357,14677,121,422,해외 주식,KINDEX,False,False,False
114460,6,KINDEX 국고채3년,106730,5,-55,-0.05,106713.0,0.0609,36,3,416,채권,KINDEX,False,False,False
396510,4,TIGER 차이나클린에너지SOLACTIVE,10385,5,-125,-1.19,,,193406,2041,415,해외 주식,TIGER,False,False,False
326230,2,KBSTAR 내수주플러스,11150,2,100,0.9,11175.0,-1.7189,8932,99,415,국내 업종/테마,KBSTAR,False,False,False
337140,2,KODEX 코스피대형주,14755,2,90,0.61,14810.0,-3.1507,457,6,413,국내 업종/테마,KODEX,False,False,False
204450,4,KODEX 차이나H레버리지(H),5155,3,0,0.0,,-27.5475,148023,765,412,해외 주식,KODEX,False,True,True
395760,2,ARIRANG ESG성장주액티브,9845,2,85,0.87,9880.0,,1325,13,399,국내 업종/테마,ARIRANG,False,False,False
203780,4,TIGER 미국나스닥바이오,23130,2,155,0.67,,19.2268,27277,631,393,해외 주식,TIGER,False,False,False
379780,4,KBSTAR 미국S&P500,11500,2,5,0.04,,12.0857,50659,582,391,해외 주식,KBSTAR,False,False,False
280930,4,KODEX 미국러셀2000(H),15015,2,165,1.11,,0.4347,38606,577,390,해외 주식,KODEX,False,False,True
341850,7,TIGER KIS부동산인프라채권TR,5680,2,15,0.26,5677.0,-0.7861,15086,85,386,기타,TIGER,False,False,False
304770,1,HANARO 코스닥150,15145,3,0,0.0,15352.0,8.1013,889,13,385,국내 시장지수,HANARO,False,False,False
385720,1,TIMEFOLIO Kstock액티브,10295,2,70,0.68,10341.0,0.488,2769,28,381,국내 시장지수,TIMEFOLIO,False,False,False
123320,3,TIGER 레버리지,25365,2,295,1.18,25402.0,-6.9346,76900,1944,380,국내 파생,TIGER,False,True,False
356540,6,KINDEX KIS종합채권(AA-이상)액티브,99060,5,-190,-0.19,99187.0,1.2572,7002,693,380,채권,KINDEX,False,False,False
228790,2,TIGER 화장품,3525,3,0,0.0,3522.0,-16.3702,139423,492,374,국내 업종/테마,TIGER,False,False,False
269540,4,ARIRANG 미국S&P500(H),18680,2,110,0.59,,8.9212,12506,233,374,해외 주식,ARIRANG,False,False,True
276650,4,KBSTAR 글로벌4차산업IT(합성 H),24360,2,50,0.21,,12.7777,13490,327,365,해외 주식,KBSTAR,False,False,True
396500,2,TIGER Fn반도체TOP10,9115,2,50,0.55,9130.0,,171101,1559,365,국내 업종/테마,TIGER,False,False,False
276970,4,KODEX 미국S&P고배당커버드콜(합성 H),10575,2,30,0.28,,0.3511,29652,313,360,해외 주식,KODEX,False,False,True
310960,1,TIGER 200TR,22375,2,160,0.72,22402.0,-3.306,1195,26,358,국내 시장지수,TIGER,False,False,False
176950,6,KODEX 국채선물10년인버스,46505,2,20,0.04,46535.0,-2.362,125,5,357,채권,KODEX,True,False,False
359210,1,KODEX 코스피TR,14825,2,105,0.71,14840.0,-1.1338,26,0,356,국내 시장지수,KODEX,False,False,False
200250,4,KOSEF 인도Nifty50(합성),18645,5,-55,-0.29,,14.3514,105890,1987,345,해외 주식,KOSEF,False,False,False
244580,2,KODEX 바이오,16400,2,10,0.06,16547.0,16.7259,51610,851,341,국내 업종/테마,KODEX,False,False,False
279530,2,KODEX 고배당,10015,2,25,0.25,10026.0,-2.4355,7606,76,341,국내 업종/테마,KODEX,False,False,False
169950,4,KODEX 차이나A50,21220,2,80,0.38,,-12.3322,5641,119,340,해외 주식,KODEX,False,False,False
114470,6,KOSEF 국고채3년,112365,3,0,0.0,112362.0,0.0935,29,3,337,채권,KOSEF,False,False,False
385590,2,네비게이터 ESG액티브,9900,2,100,1.02,9917.0,-1.7858,307,3,337,국내 업종/테마,네비게이터,False,False,False
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,97880,3,0,0.0,97892.0,3.1727,1,0,336,채권,KODEX,False,False,False
227540,2,TIGER 200 헬스케어,27970,2,235,0.85,28047.0,11.9247,89819,2518,336,국내 업종/테마,TIGER,False,False,False
388280,2,KBSTAR Fn컨택트대표,9985,5,-20,-0.2,9995.0,,87755,877,335,국내 업종/테마,KBSTAR,False,False,False
272570,6,KBSTAR 중장기국공채액티브,103735,5,-55,-0.05,103712.0,0.2561,301,31,335,채권,KBSTAR,False,False,False
385600,2,네비게이터 친환경자동차밸류체인액티브,10600,2,155,1.48,10634.0,4.743,12803,135,329,국내 업종/테마,네비게이터,False,False,False
266420,2,KODEX 헬스케어,20340,2,75,0.37,20427.0,8.5958,18766,382,325,국내 업종/테마,KODEX,False,False,False
139270,2,TIGER 200 금융,7105,5,-25,-0.35,7119.0,-4.6309,71148,505,323,국내 업종/테마,TIGER,False,False,False
354500,1,KINDEX 코스닥150,15265,2,45,0.3,15336.0,8.725,2184,33,321,국내 시장지수,KINDEX,False,False,False
138230,7,KOSEF 미국달러선물,12175,5,-45,-0.37,12182.0,3.7936,5094,61,319,기타,KOSEF,False,False,False
364990,2,TIGER KRX게임K-뉴딜,12030,2,110,0.92,12040.0,7.3148,21613,258,319,국내 업종/테마,TIGER,False,False,False
252420,3,KBSTAR 200선물인버스2X,2000,5,-30,-1.48,2005.0,5.8201,229329,460,312,국내 파생,KBSTAR,True,False,False
396520,4,TIGER 차이나반도체FACTSET,9275,5,-90,-0.96,,,88219,821,304,해외 주식,TIGER,False,False,False
332620,6,ARIRANG 미국장기우량회사채,102730,5,-365,-0.35,,9.2872,3860,396,293,채권,ARIRANG,False,False,False
217780,4,TIGER 차이나CSI300인버스(합성),7700,2,15,0.2,,3.8435,4949,38,293,해외 주식,TIGER,True,False,False
252400,3,KBSTAR 200선물레버리지,24345,2,275,1.14,24362.0,-7.1511,4461,108,292,국내 파생,KBSTAR,False,True,False
292160,1,TIGER KRX300,19340,2,90,0.47,19401.0,-2.4956,178,3,290,국내 시장지수,TIGER,False,False,False
137610,5,TIGER 농산물선물Enhanced(H),6420,2,10,0.16,,-4.1792,27339,175,289,원자재,TIGER,False,False,True
319640,4,TIGER 골드선물(H),13105,5,-20,-0.15,,-4.7256,9196,120,288,해외 주식,TIGER,False,False,True
331910,2,KOSEF Fn중소형,26665,2,140,0.53,26650.0,-0.4109,74,1,283,국내 업종/테마,KOSEF,False,False,False
181480,7,KINDEX 미국다우존스리츠(합성 H),100530,5,-170,-0.17,,7.6453,18008,1813,281,기타,KINDEX,False,False,True
152870,1,파워 200,43110,2,225,0.52,43177.0,-2.6621,797,34,280,국내 시장지수,파워,False,False,False
